@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute 'feature52' real
@attribute 'feature53' real
@attribute 'feature54' real
@attribute 'feature55' real
@attribute 'feature56' real
@attribute 'feature57' real
@attribute 'feature58' real
@attribute 'feature59' real
@attribute 'feature60' real
@attribute 'feature61' real
@attribute 'feature62' real
@attribute 'feature63' real
@attribute 'feature64' real
@attribute 'feature65' real
@attribute 'feature66' real
@attribute 'feature67' real
@attribute 'feature68' real
@attribute 'feature69' real
@attribute 'feature70' real
@attribute 'feature71' real
@attribute 'feature72' real
@attribute 'feature73' real
@attribute 'feature74' real
@attribute 'feature75' real
@attribute 'feature76' real
@attribute 'feature77' real
@attribute 'feature78' real
@attribute 'feature79' real
@attribute 'feature80' real
@attribute 'feature81' real
@attribute 'feature82' real
@attribute 'feature83' real
@attribute 'feature84' real
@attribute 'feature85' real
@attribute 'feature86' real
@attribute 'feature87' real
@attribute 'feature88' real
@attribute 'feature89' real
@attribute 'feature90' real
@attribute 'feature91' real
@attribute 'feature92' real
@attribute 'feature93' real
@attribute class {1 2 3 4 5 6 }
@data
0.004113,0.000098,0.004093,0.000101,0.011551,0.002234,0.005477,0.003307,877.000000,0.814622,0.892167,0.728405,1.000000,127.497475,0.667452,45.973743,26.664389,-89.371846,0.042641,3.652406,0.058897,1.917734,0.472859,9.005348,4.106923,2.114456,3.458125,1.528918,1.534408,-0.016361,0.235831,0.000872,0.003377,0.051517,2.163102,0.632883,2.300895,0.557453,10.542781,8.836405,2.404862,3.276576,0.978846,1.306323,-0.190613,0.717214,0.145293,0.037663,0.073311,2.068335,0.082858,1.134567,0.545395,8.054318,2.440854,1.861953,2.943023,0.861362,1.281871,-0.005750,0.129864,0.000807,0.002647,0.043589,3.683735,0.043882,1.872076,0.457888,8.996988,4.015051,2.105902,3.425018,1.451771,1.526118,-0.029398,0.312688,0.003100,0.003805,0.072344,2.126015,0.058956,1.144861,0.536379,8.056851,2.390009,1.851326,2.942277,0.864587,1.287695,-0.006897,0.142328,0.002391,0.002866,1
0.004205,0.000106,0.004166,0.000107,0.009538,0.001658,0.004709,0.002102,679.000000,0.628409,0.922554,0.625806,1.000000,106.325902,0.740748,34.919308,27.163152,-67.542222,0.078464,2.047038,0.077056,1.056651,0.547581,7.858885,2.382526,1.829376,2.878637,0.853844,1.276515,-0.022778,0.254945,0.003855,0.005576,0.041338,1.726481,0.666798,2.487113,0.571357,8.500000,8.612369,2.448860,3.373311,0.722993,1.208816,-0.195312,0.722052,0.039187,0.058964,0.100676,1.431789,0.158623,0.852161,0.608631,6.891728,1.971387,1.747232,2.644552,0.639696,1.140133,-0.013194,0.185835,0.001509,0.002902,0.076091,2.259406,-0.019830,0.998608,0.530396,7.847525,2.156949,1.794100,2.880643,0.926639,1.318181,-0.014011,0.202184,0.003154,0.003423,0.099242,1.480027,0.133593,0.856292,0.599431,6.906867,1.935895,1.741447,2.652032,0.645363,1.147466,-0.010013,0.162349,0.000637,0.005361,1
0.004144,0.000102,0.004113,0.000101,0.013133,0.003358,0.005590,0.003872,1033.000000,0.800442,0.961825,0.663030,1.000000,126.468037,0.798928,47.329262,28.369624,-51.589458,0.055003,2.736842,0.060370,1.466355,0.495773,9.592105,3.083622,1.975646,3.186853,1.079751,1.390366,-0.012952,0.202022,0.006361,0.002058,0.043047,2.303728,0.595579,2.861837,0.554328,9.996711,9.088805,2.465520,3.415992,1.050409,1.332423,-0.173229,0.690735,0.192604,0.077990,0.062858,2.387993,0.087049,1.306335,0.524666,9.374097,2.843376,1.938699,3.092679,0.990543,1.340558,-0.005684,0.132216,0.001419,0.001885,0.055950,2.631010,0.108755,1.497861,0.513085,9.602163,3.261197,2.001702,3.189606,1.095436,1.384486,-0.017312,0.233420,0.007794,0.003145,0.062657,2.388666,0.091510,1.308845,0.527432,9.383879,2.869868,1.943489,3.097953,1.002196,1.345114,-0.005628,0.131756,0.002501,0.002277,1
0.004213,0.000132,0.004154,0.000113,0.013643,0.003254,0.005923,0.004012,1008.000000,0.604053,0.969231,0.745011,1.000000,121.154329,0.848892,40.417889,32.210805,82.926265,0.075203,2.029345,0.285828,1.440237,0.549187,7.275395,3.653277,1.975088,2.996079,0.855327,1.266019,-0.044828,0.359383,0.001670,0.011242,0.055717,2.682844,0.483703,2.549140,0.569674,10.579007,7.706512,2.341833,3.279830,1.370449,1.394268,-0.138729,0.622850,0.059902,0.118090,0.106869,1.363923,0.175294,0.828252,0.616967,7.374951,1.943697,1.717002,2.587623,0.616539,1.120944,-0.019890,0.225143,0.001651,0.005897,0.071089,2.514888,0.145825,1.500042,0.527185,7.299007,3.373374,1.960346,3.056365,1.087367,1.368364,-0.025497,0.276850,0.022543,0.022094,0.105060,1.399062,0.155518,0.829621,0.613896,7.398654,1.914280,1.722498,2.597144,0.633437,1.130459,-0.013147,0.183865,0.006544,0.004845,1
0.004126,0.000098,0.004069,0.000101,0.013466,0.003285,0.005596,0.004047,1051.000000,0.776118,0.973148,0.676319,1.000000,124.710678,0.835734,46.313432,29.204659,-34.131645,0.052157,2.909766,0.053601,1.529889,0.488177,8.211253,3.238812,1.999273,3.226677,1.151749,1.418119,-0.017973,0.238581,0.002201,0.001641,0.058952,2.380042,0.589899,2.960940,0.543696,10.861996,9.220870,2.335886,3.260443,1.060715,1.346402,-0.160764,0.659867,0.089418,0.075152,0.062445,2.292114,0.112736,1.289036,0.531504,8.078860,2.874566,1.942667,3.077477,0.951800,1.326858,-0.008313,0.159324,0.000605,0.001851,0.052147,2.914943,0.037325,1.521391,0.484785,8.262069,3.140515,1.987125,3.214784,1.137165,1.418549,-0.015774,0.223377,0.001783,0.002305,0.062131,2.241788,0.134532,1.290865,0.529988,8.098549,2.938722,1.955467,3.079526,0.913747,1.313815,-0.008718,0.163203,0.001051,0.001362,1
0.004178,0.000099,0.004127,0.000103,0.013726,0.003841,0.005465,0.004028,854.000000,0.801003,0.979358,0.702303,1.000000,111.982756,0.840705,42.696908,25.560958,53.736563,0.047878,3.265857,0.050429,1.689000,0.481665,8.337382,3.610870,2.053096,3.344588,1.341216,1.476603,-0.015671,0.227373,0.003415,0.003429,0.038568,3.025641,0.525059,3.173645,0.503443,9.708502,9.715299,2.490611,3.511805,1.297889,1.448880,-0.149255,0.658384,0.113230,0.077982,0.059334,2.456800,0.095156,1.360519,0.518287,8.676357,2.973523,1.961944,3.130812,1.003989,1.352516,-0.005969,0.136314,0.000395,0.002819,0.048630,3.221889,0.050402,1.662460,0.461767,8.373313,3.562286,2.041641,3.309080,1.214591,1.449699,-0.028091,0.300684,0.005353,0.011514,0.058633,2.552094,0.065558,1.369714,0.507638,8.688908,2.910167,1.950854,3.138784,1.021919,1.362863,-0.004547,0.119235,0.000272,0.003760,1
0.004125,0.000098,0.004064,0.000100,0.011928,0.002646,0.005044,0.003182,700.000000,0.837034,0.976290,0.795455,1.000000,103.012193,0.813091,40.433569,22.123270,-87.335000,0.061313,3.006885,0.004029,1.475787,0.501258,9.216867,3.020094,1.957158,3.162160,1.282251,1.431996,-0.030197,0.304633,0.002204,0.005872,0.040784,4.234079,0.292574,2.835606,0.477319,10.440620,7.709469,2.379258,3.533866,1.939975,1.580184,-0.074925,0.492869,0.196143,0.050546,0.058915,2.508706,0.106419,1.400907,0.513384,8.255059,3.106239,1.983092,3.154295,1.017434,1.360439,-0.008551,0.163506,0.000150,0.003725,0.058919,3.041750,0.021641,1.531724,0.501922,9.244533,3.154915,1.980622,3.193304,1.309621,1.456742,-0.026587,0.287166,0.006484,0.004420,0.059639,2.459248,0.125940,1.403749,0.522264,8.277696,3.167882,1.992500,3.155151,1.027202,1.354559,-0.009096,0.168607,0.002452,0.002551,1
0.004141,0.000101,0.004097,0.000100,0.011313,0.002304,0.004809,0.002699,294.000000,0.595609,0.921630,0.668182,1.000000,68.284271,0.769640,22.155992,17.797351,82.485707,0.045937,3.697368,0.071348,1.871711,0.456289,8.302632,4.219818,2.116116,3.334471,1.460507,1.524679,-0.061160,0.438242,0.007119,0.004884,0.057902,5.460526,0.165919,3.534780,0.455324,11.469298,7.582391,2.268774,3.256177,2.489439,1.660680,-0.094840,0.531224,0.128312,0.019061,0.071125,2.308322,0.061490,1.243842,0.537572,8.593906,2.610440,1.894331,3.000914,0.990890,1.337503,-0.009990,0.172661,0.001855,0.003768,0.048677,3.978261,-0.001992,1.828332,0.412630,8.326087,3.915406,2.059162,3.299429,1.355269,1.522200,-0.074042,0.476172,0.001313,0.003856,0.070999,2.367240,0.036980,1.248073,0.533231,8.617479,2.547565,1.883795,3.006018,1.006129,1.345543,-0.005862,0.132752,0.000627,0.000629,1
0.004155,0.000098,0.004110,0.000100,0.011701,0.002490,0.005159,0.003184,532.000000,0.775800,0.926829,0.671717,1.000000,94.183766,0.737897,33.527918,21.155425,-71.475858,0.043517,3.685912,0.017132,1.918225,0.449013,8.757506,3.814176,2.079791,3.394399,1.418558,1.511919,-0.029075,0.309607,0.004540,0.006985,0.039570,3.937644,0.327349,2.824688,0.429031,10.344111,7.763805,2.396465,3.488982,1.464107,1.516372,-0.097396,0.549189,0.085913,0.061741,0.055575,2.631579,0.074352,1.428047,0.504421,8.846206,3.054270,1.975240,3.166633,1.054949,1.375155,-0.007173,0.150220,0.000814,0.004412,0.042906,3.798365,0.001924,1.955319,0.449332,8.735695,3.812977,2.068210,3.402345,1.486640,1.525665,-0.034064,0.334728,0.003781,0.007481,0.055988,2.715203,0.041644,1.419563,0.502308,8.867951,2.951157,1.958003,3.164282,1.099165,1.396980,-0.005909,0.136312,0.001782,0.005271,1
0.004664,0.000379,0.004285,0.000293,0.020608,0.010301,0.007455,0.008139,724.000000,0.696000,0.901619,0.646429,1.000000,114.911688,0.677164,37.629923,27.019846,35.173922,0.050661,1.641026,0.802502,3.844582,0.599057,6.923077,13.756903,2.523084,3.315829,0.759112,1.204181,-0.263043,0.799911,0.004876,0.010881,0.081957,2.198718,0.657276,3.186676,0.581341,6.503205,10.631400,2.235442,3.084792,1.086775,1.332177,-0.227200,0.740226,0.168765,0.255240,0.176799,0.910651,0.742042,1.764085,0.715078,5.091124,6.149685,1.888211,2.461027,0.519471,0.987849,-0.210017,0.662893,0.001193,0.001638,0.047352,2.458259,0.723109,3.812928,0.520402,6.845471,12.670614,2.482541,3.391949,1.025072,1.338495,-0.198125,0.734420,0.032743,0.019040,0.165767,1.317358,0.635180,1.805719,0.682710,5.141014,5.904232,1.915023,2.568505,0.766434,1.113899,-0.150462,0.585147,0.009957,0.010934,1
0.004433,0.000179,0.004242,0.000173,0.016465,0.004556,0.006430,0.005075,405.000000,0.791653,0.937500,0.675000,1.000000,83.597980,0.711123,29.935131,18.289493,-17.541222,0.257884,0.909091,0.018347,0.592960,0.728430,4.222874,0.941530,1.267883,1.769568,0.551199,0.941509,-0.016302,0.171536,0.000889,0.002866,0.057972,3.196481,0.534584,3.059210,0.540423,10.967742,10.353798,2.464676,3.281038,1.591541,1.447465,-0.185879,0.704200,0.080744,0.156348,0.217402,0.598870,0.402019,0.503819,0.770183,4.166015,1.403991,1.519216,1.919445,0.366999,0.822663,-0.114312,0.456367,0.000983,0.002015,0.262971,0.980132,-0.020187,0.621727,0.726765,4.231788,0.939652,1.273793,1.766052,0.608921,0.955008,-0.015714,0.167539,0.004505,0.003359,0.206779,0.674345,0.330655,0.510309,0.754899,4.192864,1.339949,1.520857,1.955007,0.405952,0.848744,-0.082406,0.394614,0.005267,0.001340,1
0.004160,0.000100,0.004118,0.000101,0.012121,0.002730,0.005532,0.003533,957.000000,0.916705,0.792875,0.521242,1.000000,151.053824,0.520148,60.945999,24.351811,30.712147,0.049731,3.230036,-0.017474,1.568227,0.471294,9.010727,3.119074,1.982737,3.258206,1.278703,1.457427,-0.015281,0.221446,0.003827,0.004720,0.046998,1.965435,0.691682,3.352939,0.558554,9.965435,10.598329,2.445814,3.372640,0.842694,1.264230,-0.188871,0.714575,0.095563,0.042276,0.059372,2.569822,0.095932,1.412317,0.514254,8.439092,3.114711,1.985174,3.166061,1.063576,1.371594,-0.006711,0.145381,0.000598,0.002398,0.048955,3.302234,-0.040338,1.556866,0.465447,8.973719,3.042673,1.971271,3.257858,1.276942,1.470789,-0.015232,0.221219,0.009548,0.001385,0.058816,2.708039,0.045175,1.399220,0.506413,8.443463,2.962793,1.960638,3.167949,1.114467,1.397522,-0.003915,0.111369,0.002794,0.001824,1
0.004178,0.000096,0.004155,0.000096,0.009904,0.001687,0.005000,0.002217,654.000000,0.578060,0.963181,0.726667,1.000000,96.083261,0.871965,32.151337,26.235303,-42.663471,0.047366,3.464664,-0.020883,1.727166,0.453105,9.090106,3.322270,2.010222,3.326243,1.309059,1.476924,-0.019206,0.250632,0.001927,0.009055,0.034661,2.729682,0.548224,3.030416,0.498901,10.457597,9.354209,2.447263,3.551722,1.097969,1.387827,-0.141982,0.647368,0.059317,0.069289,0.046607,3.366438,0.005873,1.698482,0.462210,8.530333,3.406125,2.028649,3.351586,1.304601,1.477441,-0.004673,0.124863,0.001105,0.005047,0.047720,3.280392,0.022715,1.644737,0.477172,9.088235,3.429469,2.022641,3.303733,1.325879,1.480863,-0.024023,0.278551,0.000924,0.002784,0.046685,3.277947,0.031890,1.699274,0.470757,8.547256,3.493702,2.043186,3.353110,1.292540,1.474288,-0.003645,0.110389,0.000469,0.002135,1
0.004169,0.000091,0.004128,0.000098,0.012478,0.002513,0.005863,0.003805,283.000000,0.794434,0.918831,0.620614,1.000000,69.698485,0.711502,24.964550,15.162236,28.361622,0.050082,3.424779,0.066630,1.937896,0.451187,8.761062,3.889811,2.075006,3.226846,1.266740,1.476640,-0.070656,0.464297,0.004998,0.003054,0.067390,3.097345,0.622983,1.670080,0.559304,11.920354,9.444984,2.331185,3.019290,1.648837,1.378818,-0.189105,0.705651,0.061379,0.087865,0.065781,2.146907,0.111313,1.220152,0.537579,9.705326,2.678631,1.905637,2.998642,0.882249,1.297749,-0.014172,0.205089,0.002242,0.001014,0.053961,3.694737,-0.003957,1.912161,0.481291,8.842105,3.617175,2.017792,3.237122,1.584598,1.530422,-0.069149,0.459147,0.003161,0.004091,0.066609,2.242368,0.074228,1.215834,0.534217,9.715079,2.583020,1.890937,2.996553,0.935037,1.313305,-0.013168,0.197632,0.002272,0.001923,1
